Base_Feature,Total_Appearances,Component_version_simple,Component_type_clinical,Component_type_medical,Component_version_original,Component_subset_medical,Component_stat_std,Component_stat_max,Component_stat_mean,Component_stat_min
Selective_regression-path_duration_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_whole_fixation_std,4,2,2,2,2,0,0,0,0,0
word_frequency_text_mean,4,2,2,2,2,0,0,0,0,0
Regression-path_duration_mean,4,2,2,2,2,0,0,0,0,0
Sentence_id_current_std,4,2,2,2,2,0,0,0,0,0
Time_to_exit_saccade_std,4,2,2,2,2,0,0,0,0,0
Total_duration_of_whole_fixations_mean,4,2,2,2,2,0,0,0,0,0
word_count_screen_min,4,2,2,2,2,0,0,0,0,0
word_count_text_min,4,2,2,2,2,0,0,0,0,0
First-pass_regression_max,4,2,2,2,2,0,0,0,0,0
word_id_screen_min,4,2,2,2,2,0,0,0,0,0
Sentence_id_current,4,0,0,0,0,4,1,1,1,1
word_id_text,4,0,0,0,0,4,1,1,1,1
tag.id_max,4,2,2,2,2,0,0,0,0,0
id.phrase.in.brackets_std,4,2,2,2,2,0,0,0,0,0
left_dependents_mean,4,2,2,2,2,0,0,0,0,0
Time_to_first_whole_fixation_max,4,2,2,2,2,0,0,0,0,0
Time_to_exit_saccade_max,4,2,2,2,2,0,0,0,0,0
word_frequency_screen_std,4,2,2,2,2,0,0,0,0,0
total_lemma_count_screen_max,4,2,2,2,2,0,0,0,0,0
total_lemma_count_screen_mean,4,2,2,2,2,0,0,0,0,0
id.phrase.in.brackets_max,4,2,2,2,2,0,0,0,0,0
Average_whole-fixation_pupil_diameter_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_fixation_max,4,2,2,2,2,0,0,0,0,0
Average_pupil_diameter_std,4,2,2,2,2,0,0,0,0,0
word_id_screen_std,4,2,2,2,2,0,0,0,0,0
word_id_screen_mean,4,2,2,2,2,0,0,0,0,0
word_count_screen_mean,4,2,2,2,2,0,0,0,0,0
word_id_screen_max,4,2,2,2,2,0,0,0,0,0
total_word_count_screen_max,4,2,2,2,2,0,0,0,0,0
total_word_count_text_mean,4,2,2,2,2,0,0,0,0,0
Time_to_first_fixation_std,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_fixations_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_whole_fixation_min,4,2,2,2,2,0,0,0,0,0
Sentence_id_current_mean,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_whole_fixations_std,4,2,2,2,2,0,0,0,0,0
word_frequency_screen_min,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_Visit_std,4,2,2,2,2,0,0,0,0,0
word_id_text_mean,4,2,2,2,2,0,0,0,0,0
id.line_std,4,2,2,2,2,0,0,0,0,0
word_id_text_std,4,2,2,2,2,0,0,0,0,0
total_word_count_text_min,4,2,2,2,2,0,0,0,0,0
total_word_count_text_max,4,2,2,2,2,0,0,0,0,0
Total_duration_of_fixations_mean,4,2,2,2,2,0,0,0,0,0
word_id_text_max,4,2,2,2,2,0,0,0,0,0
word_frequency_screen_mean,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_exit_saccade_mean,4,2,2,2,2,0,0,0,0,0
AOI_length_mean,4,2,2,2,2,0,0,0,0,0
AOI_length_std,4,2,2,2,2,0,0,0,0,0
total_lemma_count_text_min,4,2,2,2,2,0,0,0,0,0
total_lemma_count_text_max,4,2,2,2,2,0,0,0,0,0
total_lemma_count_text_mean,4,2,2,2,2,0,0,0,0,0
Time_to_entry_saccade_std,4,2,2,2,2,0,0,0,0,0
Average_whole-fixation_pupil_diameter_min,4,2,2,2,2,0,0,0,0,0
Sentence_id_current_max,4,2,2,2,2,0,0,0,0,0
total_word_count_screen_mean,4,2,2,2,2,0,0,0,0,0
word_frequency_screen,4,0,0,0,0,4,1,1,1,1
Time_to_entry_saccade_max,4,2,2,2,2,0,0,0,0,0
total_word_count_text,4,0,0,0,0,4,1,1,1,1
word_count_text_max,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_entry_saccade_max,4,2,2,2,2,0,0,0,0,0
Duration_of_first_whole_fixation_min,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_exit_saccade_std,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_exit_saccade_max,4,2,2,2,2,0,0,0,0,0
total_lemma_count_screen_std,4,2,2,2,2,0,0,0,0,0
word_count_text_std,4,2,2,2,2,0,0,0,0,0
total_word_count_screen_std,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_entry_saccade_std,4,2,2,2,2,0,0,0,0,0
Average_duration_of_whole_fixations_min,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_whole_fixations_min,4,2,2,2,2,0,0,0,0,0
id.line_mean,4,2,2,2,2,0,0,0,0,0
word_count_text_mean,4,2,2,2,2,0,0,0,0,0
Average_duration_of_fixations_min,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_fixations_min,4,2,2,2,2,0,0,0,0,0
id.line_max,4,2,2,2,2,0,0,0,0,0
word_frequency_text_min,4,2,2,2,2,0,0,0,0,0
left_dependents_max,4,2,2,2,2,0,0,0,0,0
word_frequency_screen_max,4,2,2,2,2,0,0,0,0,0
word_frequency_text_max,4,2,2,2,2,0,0,0,0,0
word_count_screen_max,4,2,2,2,2,0,0,0,0,0
id.line,4,0,0,0,0,4,1,1,1,1
word_frequency_text,4,0,0,0,0,4,1,1,1,1
Peak_velocity_of_exit_saccade,4,0,0,0,0,4,1,1,1,1
total_lemma_count_text,4,0,0,0,0,4,1,1,1,1
total_lemma_count_screen,4,0,0,0,0,4,1,1,1,1
Duration_of_first_fixation_min,4,2,2,2,2,0,0,0,0,0
Number_of_fixations_std,4,2,2,2,2,0,0,0,0,0
left_dependents_std,4,2,2,2,2,0,0,0,0,0
word_frequency_text_std,4,2,2,2,2,0,0,0,0,0
total_word_count_screen,4,0,0,0,0,4,1,1,1,1
Peak_velocity_of_entry_saccade_mean,4,2,2,2,2,0,0,0,0,0
total_lemma_count_screen_min,4,2,2,2,2,0,0,0,0,0
id.phrase.in.brackets_mean,4,2,2,2,2,0,0,0,0,0
word_count_screen_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_whole_fixation,4,0,0,0,0,4,1,1,1,1
tag.id_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_fixation_min,4,2,2,2,2,0,0,0,0,0
total_word_count_screen_min,4,2,2,2,2,0,0,0,0,0
Number_of_whole_fixations_std,4,2,2,2,2,0,0,0,0,0
Time_to_exit_saccade,4,0,0,0,0,4,1,1,1,1
right_dependents_max,4,2,2,2,2,0,0,0,0,0
Number_of_whole_fixations_max,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_whole_fixations_min,4,2,2,2,2,0,0,0,0,0
Time_to_first_Visit_min,4,2,2,2,2,0,0,0,0,0
AOI_length_max,4,2,2,2,2,0,0,0,0,0
Number_of_fixations_max,4,2,2,2,2,0,0,0,0,0
Time_to_entry_saccade,4,0,0,0,0,4,1,1,1,1
Regression-path_duration_std,4,2,2,2,2,0,0,0,0,0
Number_of_fixations_mean,4,2,2,2,2,0,0,0,0,0
id.line_min,4,2,2,2,2,0,0,0,0,0
Number_of_whole_fixations_mean,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_Visit_min,4,2,2,2,2,0,0,0,0,0
Average_pupil_diameter_min,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_fixations,4,0,0,0,0,4,1,1,1,1
Total_duration_of_Visit_mean,4,2,2,2,2,0,0,0,0,0
Number_of_Visits_max,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_fixations_max,4,2,2,2,2,0,0,0,0,0
Duration_of_first_whole_fixation,4,0,0,0,0,4,1,1,1,1
Maximum_duration_of_whole_fixations_max,4,2,2,2,2,0,0,0,0,0
First-pass_duration_max,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_Visit_min,4,2,2,2,2,0,0,0,0,0
Average_duration_of_Visit_min,4,2,2,2,2,0,0,0,0,0
First-pass_regression_mean,4,2,2,2,2,0,0,0,0,0
First-pass_first_fixation_duration_max,4,2,2,2,2,0,0,0,0,0
Time_to_first_Visit,4,0,0,0,0,4,1,1,1,1
Number_of_Visits_mean,4,2,2,2,2,0,0,0,0,0
First-pass_first_fixation_duration_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_Visit_max,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_exit_saccade_min,4,2,2,2,2,0,0,0,0,0
Number_of_Visits_std,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_whole_fixations,4,0,0,0,0,4,1,1,1,1
Duration_of_first_whole_fixation_max,4,2,2,2,2,0,0,0,0,0
Duration_of_first_fixation,4,0,0,0,0,4,1,1,1,1
Maximum_duration_of_fixations,4,0,0,0,0,4,1,1,1,1
Maximum_duration_of_whole_fixations_std,4,2,2,2,2,0,0,0,0,0
Average_whole-fixation_pupil_diameter_max,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_fixations_std,4,2,2,2,2,0,0,0,0,0
Duration_of_first_Visit_min,4,2,2,2,2,0,0,0,0,0
Total_duration_of_Visit_max,4,2,2,2,2,0,0,0,0,0
Selective_regression-path_duration_max,4,2,2,2,2,0,0,0,0,0
Average_duration_of_fixations_mean,4,2,2,2,2,0,0,0,0,0
First-pass_first_fixation_duration_mean,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_Visit_max,4,2,2,2,2,0,0,0,0,0
Average_duration_of_Visit_mean,4,2,2,2,2,0,0,0,0,0
Average_duration_of_Visit,4,0,0,0,0,4,1,1,1,1
Selective_regression-path_duration_mean,4,2,2,2,2,0,0,0,0,0
Average_duration_of_Visit_max,4,2,2,2,2,0,0,0,0,0
Duration_of_first_Visit_mean,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_Visit,4,0,0,0,0,4,1,1,1,1
Average_whole-fixation_eye_openness_max,4,2,2,2,2,0,0,0,0,0
Duration_of_first_Visit_std,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_Visit_std,4,2,2,2,2,0,0,0,0,0
Average_whole-fixation_eye_openness_std,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_Visit_mean,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_Visit,4,0,0,0,0,4,1,1,1,1
Average_whole-fixation_eye_openness_mean,4,2,2,2,2,0,0,0,0,0
Duration_of_first_Visit_max,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_Visit_max,4,2,2,2,2,0,0,0,0,0
Duration_of_first_Visit,4,0,0,0,0,4,1,1,1,1
First-pass_duration_std,4,2,2,2,2,0,0,0,0,0
Total_duration_of_Visit_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_Visit_mean,4,2,2,2,2,0,0,0,0,0
First-pass_duration_mean,4,2,2,2,2,0,0,0,0,0
Average_duration_of_Visit_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_Visit_std,4,2,2,2,2,0,0,0,0,0
Number_of_saccades_in_AOI_std,4,2,2,2,2,0,0,0,0,0
Duration_of_first_whole_fixation_mean,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_entry_saccade_min,4,2,2,2,2,0,0,0,0,0
Average_whole-fixation_pupil_diameter_mean,4,2,2,2,2,0,0,0,0,0
Time_to_first_fixation_mean,4,2,2,2,2,0,0,0,0,0
Total_duration_of_fixations_std,4,2,2,2,2,0,0,0,0,0
Average_duration_of_fixations_std,4,2,2,2,2,0,0,0,0,0
Average_whole-fixation_pupil_diameter,4,0,0,0,0,4,1,1,1,1
Number_of_saccades_in_AOI_mean,4,2,2,2,2,0,0,0,0,0
word_id_text_min,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_whole_fixations_max,4,2,2,2,2,0,0,0,0,0
Average_pupil_diameter,4,0,0,0,0,4,1,1,1,1
Sentence_id_current_min,4,2,2,2,2,0,0,0,0,0
Number_of_saccades_in_AOI_max,4,2,2,2,2,0,0,0,0,0
Average_pupil_diameter_mean,4,2,2,2,2,0,0,0,0,0
Time_to_first_whole_fixation_mean,4,2,2,2,2,0,0,0,0,0
Regression-path_duration_max,4,2,2,2,2,0,0,0,0,0
Time_to_entry_saccade_mean,4,2,2,2,2,0,0,0,0,0
tag.id_mean,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_fixations_max,4,2,2,2,2,0,0,0,0,0
Time_to_exit_saccade_mean,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_whole_fixations,4,0,0,0,0,4,1,1,1,1
right_dependents_std,4,2,2,2,2,0,0,0,0,0
First-pass_regression_std,4,2,2,2,2,0,0,0,0,0
right_dependents_mean,4,2,2,2,2,0,0,0,0,0
Duration_of_first_fixation_max,4,2,2,2,2,0,0,0,0,0
Total_duration_of_whole_fixations_std,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_entry_saccade,4,0,0,0,0,4,1,1,1,1
Average_duration_of_whole_fixations_std,4,2,2,2,2,0,0,0,0,0
Time_to_entry_saccade_min,4,2,2,2,2,0,0,0,0,0
Average_duration_of_whole_fixations_mean,4,2,2,2,2,0,0,0,0,0
id.phrase.in.brackets_min,4,2,2,2,2,0,0,0,0,0
Average_duration_of_whole_fixations,4,0,0,0,0,4,1,1,1,1
Time_to_exit_saccade_min,4,2,2,2,2,0,0,0,0,0
Duration_of_first_fixation_mean,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_fixations_mean,4,2,2,2,2,0,0,0,0,0
tag.id_min,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_whole_fixations_mean,4,2,2,2,2,0,0,0,0,0
Total_duration_of_whole_fixations_max,4,2,2,2,2,0,0,0,0,0
Duration_of_first_whole_fixation_std,4,2,2,2,2,0,0,0,0,0
Total_duration_of_fixations_max,4,2,2,2,2,0,0,0,0,0
Average_duration_of_fixations,4,0,0,0,0,4,1,1,1,1
Average_duration_of_whole_fixations_max,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_fixations_mean,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_whole_fixations_mean,4,2,2,2,2,0,0,0,0,0
Time_to_first_fixation,4,0,0,0,0,4,1,1,1,1
Average_duration_of_fixations_max,4,2,2,2,2,0,0,0,0,0
Duration_of_first_fixation_std,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_fixations_min,4,2,2,2,2,0,0,0,0,0
Average_pupil_diameter_max,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_Visit_mean,4,2,2,2,2,0,0,0,0,0
word_id_screen,3,0,0,0,0,3,1,1,1,0
word_count_text,3,0,0,0,0,3,1,1,1,0
Selective_regression-path_duration,3,0,0,0,0,3,1,1,1,0
id.phrase.in.brackets,3,0,0,0,0,3,1,1,1,0
AOI_length,3,0,0,0,0,3,1,1,1,0
left_dependents,3,0,0,0,0,3,1,1,1,0
right_dependents,3,0,0,0,0,3,1,1,1,0
Number_of_fixations,3,0,0,0,0,3,1,1,1,0
Number_of_saccades_in_AOI,3,0,0,0,0,3,1,1,1,0
Number_of_whole_fixations,3,0,0,0,0,3,1,1,1,0
tag.id,3,0,0,0,0,3,1,1,1,0
Regression-path_duration,3,0,0,0,0,3,1,1,1,0
First-pass_duration,3,0,0,0,0,3,1,1,1,0
Average_whole-fixation_eye_openness,3,0,0,0,0,3,1,1,1,0
First-pass_first_fixation_duration,3,0,0,0,0,3,1,1,1,0
Total_duration_of_Visit,3,0,0,0,0,3,1,1,1,0
Total_duration_of_whole_fixations,3,0,0,0,0,3,1,1,1,0
Number_of_Visits,3,0,0,0,0,3,1,1,1,0
Total_duration_of_fixations,3,0,0,0,0,3,1,1,1,0
word_count_screen,3,0,0,0,0,3,1,1,1,0
total_word_count_text_std,2,1,0,2,1,0,0,0,0,0
total_lemma_count_text_std,2,1,0,2,1,0,0,0,0,0
First-pass_regression,2,0,0,0,0,2,1,0,1,0
AOI_length_min,1,0,1,0,1,0,0,0,0,0
